kind	scale_design	df_label	n	k_extremes	magnitude	repetition	n_perm	c_delta	divergence_correlation	p_value	rejected	x_max_is_background	y_max_is_background	either_max_is_background	both_max_are_background	background_topk_index_overlap	background_max_over_planted_mean_x	background_max_over_planted_mean_y	either_background_max_exceeds_planted_mean	planted_product_to_background_product	planted_product_to_random_pairing	mechanism_contrast	background_max_product_exceeds_planted_mean_product
l2	common_scale_parameter	normal	80	2	8.0	19	299	1.19908825	0.85381461	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.44601135	0.37428661	0.0	17.13293798	3.83734638	10.824468	0.0
l2	common_scale_parameter	normal	80	2	8.0	20	299	1.21287075	0.90720975	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.40207787	0.47093831	0.0	16.84469171	3.69857108	10.67715568	0.0
l2	common_scale_parameter	normal	80	2	8.0	21	299	1.22972643	0.89097324	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.38061857	0.41483201	0.0	18.78202693	4.01228923	12.00390701	0.0
l2	common_scale_parameter	normal	80	2	8.0	22	299	1.23588459	0.90481857	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36857393	0.37608608	0.0	19.19141215	4.01657343	12.24458685	0.0
l2	common_scale_parameter	normal	80	2	8.0	23	299	1.25591485	0.91241807	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41762323	0.39160506	0.0	20.60162624	4.20270534	13.23279621	0.0
l2	common_scale_parameter	normal	80	2	8.0	24	299	1.22960472	0.90079647	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36214853	0.39241851	0.0	18.64769305	3.97625217	11.90870391	0.0
l2	common_scale_parameter	normal	80	2	8.0	25	299	1.23544303	0.87641112	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.43079589	0.37877737	0.0	19.48125891	4.14059678	12.48625678	0.0
l2	common_scale_parameter	normal	80	2	8.0	26	299	1.22482329	0.89847992	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.35490431	0.3875534	0.0	18.40391299	3.81075431	11.58548009	0.0
l2	common_scale_parameter	normal	80	2	8.0	27	299	1.22226875	0.9008581	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.44357453	0.36132761	0.0	18.15867514	3.89239232	11.54168709	0.0
l2	common_scale_parameter	normal	80	2	8.0	28	299	1.20216948	0.88670324	0.00666667	1.0	0.0	0.0	0.0	0.0	0.0	0.43925959	0.4069125	0.0	16.75666603	3.95053477	10.79347662	0.0
l2	common_scale_parameter	normal	80	2	8.0	29	299	1.19372549	0.83577497	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.38932763	0.50234325	0.0	16.81470297	3.68803147	10.48442874	0.0
l2	common_scale_parameter	normal	80	2	8.0	30	299	1.22334925	0.88775011	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41350129	0.42654751	0.0	18.38327115	4.08968681	11.84328962	0.0
l2	common_scale_parameter	normal	80	2	8.0	31	299	1.20753461	0.88760706	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39927661	0.42215165	0.0	17.42499322	3.81868036	11.01014916	0.0
l2	common_scale_parameter	normal	80	2	8.0	32	299	1.20111078	0.8736175	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.42572748	0.40358839	0.0	16.95791883	3.84185437	10.76998192	0.0
l2	common_scale_parameter	normal	80	2	8.0	33	299	1.20568141	0.88608334	0.00666667	1.0	0.0	0.0	0.0	0.0	0.0	0.39769362	0.37520279	0.0	17.2821875	3.85501871	10.96737691	0.0
l2	common_scale_parameter	normal	80	2	8.0	34	299	1.25921001	0.92257285	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36993449	0.35346924	0.0	20.54608624	4.22899867	13.26979951	0.0
l2	common_scale_parameter	normal	80	2	8.0	35	299	1.25111968	0.90570747	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.38203156	0.35674483	0.0	20.49812533	4.24510069	13.1798325	0.0
l2	common_scale_parameter	normal	80	2	8.0	36	299	1.23525256	0.88846417	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.38869063	0.46390171	0.0	19.42416078	4.128852	12.44862085	0.0
l2	common_scale_parameter	normal	80	2	8.0	37	299	1.28008648	0.93622651	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.32129467	0.34609462	0.0	22.09627992	4.24979974	14.16093176	0.0
l2	common_scale_parameter	normal	80	2	8.0	38	299	1.22958656	0.89212752	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.40409409	0.42291125	0.0	18.81422991	3.84640309	11.84438207	0.0
l2	common_scale_parameter	normal	80	2	8.0	39	299	1.23297043	0.91246019	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36215902	0.40122073	0.0	18.78513759	4.06149116	12.08532622	0.0
l2	common_scale_parameter	normal	80	2	8.0	40	299	1.21663538	0.87778011	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39066019	0.37407795	0.0	18.09331296	4.0294774	11.59504071	0.0
l2	common_scale_parameter	normal	80	2	8.0	41	299	1.23611574	0.89974677	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.35865743	0.35439254	0.0	19.2959457	4.1925169	12.46250164	0.0
l2	common_scale_parameter	normal	80	2	8.0	42	299	1.25269249	0.90236456	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.38723686	0.42403563	0.0	20.3921073	4.14212533	13.05082919	0.0
l2	common_scale_parameter	normal	80	2	8.0	43	299	1.24992336	0.93319682	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.32125731	0.35457481	0.0	20.18468945	4.21248869	13.0034602	0.0
l2	common_scale_parameter	normal	80	2	8.0	44	299	1.21813807	0.88470672	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.418875	0.42525166	0.0	18.05355301	3.91074651	11.47575367	0.0
l2	common_scale_parameter	normal	80	2	8.0	45	299	1.24448138	0.91515372	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.34390621	0.43217264	0.0	19.61086843	4.03406302	12.52705495	0.0
l2	common_scale_parameter	normal	80	2	8.0	46	299	1.23602836	0.90796649	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41016148	0.39090255	0.0	19.18848591	4.06599804	12.29410123	0.0
l2	common_scale_parameter	normal	80	2	8.0	47	299	1.21492668	0.91525609	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39203069	0.35225993	0.0	17.37738625	4.04688527	11.27781034	0.0
l2	common_scale_parameter	normal	80	2	8.0	48	299	1.24347887	0.91107436	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.34541153	0.36547475	0.0	19.67769615	4.12175464	12.63328311	0.0
l2	common_scale_parameter	normal	80	2	8.0	49	299	1.21276151	0.88793441	0.00333333	1.0	0.0	0.0	0.0	0.0	0.5	0.33363166	0.46371629	0.0	17.65659502	3.7401111	11.07581134	0.0
l2	common_scale_parameter	normal	80	2	8.0	50	299	1.22121962	0.88339148	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.46379589	0.39028923	0.0	18.01448578	4.00377454	11.57945559	0.0
l2	common_scale_parameter	normal	80	2	8.0	51	299	1.24253551	0.89412504	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.47917785	0.39604839	0.0	19.29602529	4.15682133	12.49356436	0.0
l2	common_scale_parameter	normal	80	2	8.0	52	299	1.21566934	0.90949154	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.34945962	0.40323384	0.0	17.76773085	3.97728772	11.39304158	0.0
l2	common_scale_parameter	normal	80	2	8.0	53	299	1.21311075	0.89826515	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.37715398	0.39409821	0.0	17.27953324	3.84945717	11.02819928	0.0
l2	common_scale_parameter	normal	80	2	8.0	54	299	1.2112	0.8850667	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.45617848	0.35429512	0.0	17.70957355	3.86172048	11.21176407	0.0
l2	common_scale_parameter	normal	80	2	8.0	55	299	1.23038888	0.90805273	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.37977226	0.35564248	0.0	18.87157209	3.94859891	11.98444337	0.0
l2	common_scale_parameter	normal	80	2	8.0	56	299	1.20567388	0.86069333	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.4174123	0.4691876	0.0	17.22391385	3.81511841	10.90157528	0.0
l2	common_scale_parameter	normal	80	2	8.0	57	299	1.22473099	0.88749374	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39776554	0.41311629	0.0	18.46249651	4.03259327	11.83685645	0.0
l2	common_scale_parameter	normal	80	2	8.0	58	299	1.21813524	0.86462051	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.45888067	0.39745202	0.0	18.17111909	4.10142864	11.7108148	0.0
l2	common_scale_parameter	normal	80	2	8.0	59	299	1.22857496	0.8996527	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36727022	0.42036056	0.0	18.87751244	3.99405149	12.01550878	0.0
l2	common_scale_parameter	normal	80	2	8.0	60	299	1.24498875	0.91306649	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.31850402	0.40308268	0.0	19.69977813	3.94567345	12.47710281	0.0
l2	common_scale_parameter	normal	80	2	8.0	61	299	1.25313709	0.91426447	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.42020578	0.32794984	0.0	20.43144208	4.13106119	13.06084437	0.0
l2	common_scale_parameter	normal	80	2	8.0	62	299	1.23844722	0.89152791	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36073465	0.44996038	0.0	19.33867119	3.96302774	12.27767678	0.0
l2	common_scale_parameter	normal	80	2	8.0	63	299	1.23189314	0.90827859	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.37699964	0.4119326	0.0	18.73771859	3.88626744	11.87665135	0.0
l2	common_scale_parameter	normal	80	2	8.0	64	299	1.21967757	0.86923154	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36528452	0.48302325	0.0	18.20439033	3.9064211	11.55131128	0.0
l2	common_scale_parameter	normal	80	2	8.0	65	299	1.24134033	0.90062995	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39915001	0.33313103	0.0	19.71938105	4.30411451	12.80070648	0.0
l2	common_scale_parameter	normal	80	2	8.0	66	299	1.22605349	0.91178002	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.3859573	0.38545178	0.0	18.38676573	4.05497672	11.83811464	0.0
l2	common_scale_parameter	normal	80	2	8.0	67	299	1.22155319	0.89672807	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.413748	0.38449316	0.0	18.37607653	3.94143305	11.67882448	0.0
l2	common_scale_parameter	normal	80	2	8.0	68	299	1.2110245	0.886806	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.50335029	0.36022054	0.0	17.45591031	3.84145473	11.07875679	0.0
l2	common_scale_parameter	normal	80	2	8.0	69	299	1.22992942	0.89920901	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41930353	0.4010853	0.0	18.58646656	3.99316091	11.90227114	0.0
l2	common_scale_parameter	normal	80	2	8.0	70	299	1.220701	0.89760508	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41604335	0.4719084	0.0	17.86049074	3.89581475	11.40051721	0.0
l2	common_scale_parameter	normal	80	2	8.0	71	299	1.23154786	0.89740159	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.4140873	0.34498429	0.0	19.16333803	4.04766853	12.22069519	0.0
l2	common_scale_parameter	normal	80	2	8.0	72	299	1.22705626	0.91469591	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.3108178	0.35839633	0.0	18.70856754	3.87658889	11.80735879	0.0
l2	common_scale_parameter	normal	80	2	8.0	73	299	1.24661572	0.93652351	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.40556664	0.30767	0.0	19.67670028	4.21707344	12.7564253	0.0
l2	common_scale_parameter	normal	80	2	8.0	74	299	1.21751228	0.86004156	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36516535	0.53891966	0.0	18.23585189	3.85372806	11.49007248	0.0
l2	common_scale_parameter	normal	80	2	8.0	75	299	1.21042418	0.87949484	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.42426902	0.39028262	0.0	17.3649694	3.81054058	11.00184691	0.0
l2	common_scale_parameter	normal	80	2	8.0	76	299	1.24631399	0.90269717	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.42560229	0.34262404	0.0	19.82439548	4.16763469	12.769544	0.0
l2	common_scale_parameter	normal	80	2	8.0	77	299	1.23660586	0.89748943	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.3528409	0.41251124	0.0	19.34224584	3.85012808	12.13959639	0.0
l2	common_scale_parameter	normal	80	2	8.0	78	299	1.23977933	0.91536156	0.00333333	1.0	0.0	0.0	0.0	0.0	0.5	0.40741179	0.36307689	0.0	19.00688359	4.01800983	12.2052146	0.0
l2	common_scale_parameter	normal	80	2	8.0	79	299	1.21653353	0.90216031	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.38184627	0.33215465	0.0	17.81549473	3.97424632	11.41924313	0.0
l2	common_scale_parameter	normal	80	2	8.0	80	299	1.2172374	0.91693145	0.00333333	1.0	0.0	0.0	0.0	0.0	0.5	0.38247779	0.38899471	0.0	17.27692851	3.87596086	11.09111014	0.0
l2	common_scale_parameter	normal	80	2	8.0	81	299	1.20939963	0.8535673	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.44057636	0.46680871	0.0	17.61775992	3.98644312	11.27707593	0.0
l2	common_scale_parameter	normal	80	2	8.0	82	299	1.23568875	0.89322401	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.384651	0.45659246	0.0	18.95745166	3.93457932	12.05833394	0.0
l2	common_scale_parameter	normal	80	2	8.0	83	299	1.22485217	0.88178557	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.48997993	0.32935098	0.0	18.62860572	4.1104393	11.98448557	0.0
l2	common_scale_parameter	normal	80	2	8.0	84	299	1.22456405	0.87743911	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39072547	0.42091497	0.0	18.36877169	4.06762719	11.82789604	0.0
l2	common_scale_parameter	normal	80	2	8.0	85	299	1.22635634	0.88730056	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.38236031	0.37898013	0.0	18.82931015	4.01450865	11.99353493	0.0
l2	common_scale_parameter	normal	80	2	8.0	86	299	1.24791353	0.93206754	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.34993983	0.32927848	0.0	19.75532248	4.12466252	12.71440645	0.0
l2	common_scale_parameter	normal	80	2	8.0	87	299	1.25193525	0.93127047	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.40669307	0.31253662	0.0	20.00701417	4.21679238	12.95272997	0.0
l2	common_scale_parameter	normal	80	2	8.0	88	299	1.21671937	0.89285588	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.44820356	0.32404967	0.0	17.90346813	4.14291819	11.61650716	0.0
l2	common_scale_parameter	normal	80	2	8.0	89	299	1.21670177	0.86149243	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.42890458	0.39380113	0.0	18.14395452	3.96536815	11.55582328	0.0
l2	common_scale_parameter	normal	80	2	8.0	90	299	1.2182739	0.89656817	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41680283	0.3479863	0.0	17.96517407	4.09204692	11.61267848	0.0
l2	common_scale_parameter	normal	80	2	8.0	91	299	1.19884246	0.85064835	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36069242	0.46115487	0.0	16.85972137	3.73452173	10.59790744	0.0
l2	common_scale_parameter	normal	80	2	8.0	92	299	1.21427149	0.86648504	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39894796	0.38717905	0.0	17.92675638	3.95723122	11.43022882	0.0
l2	common_scale_parameter	normal	80	2	8.0	93	299	1.23418661	0.90965858	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.37390115	0.40863167	0.0	18.96524935	3.77520613	11.87370475	0.0
l2	common_scale_parameter	normal	80	2	8.0	94	299	1.19698804	0.87214352	0.00666667	1.0	0.0	0.0	0.0	0.0	0.0	0.39758063	0.38398803	0.0	16.58300047	3.74868914	10.47410991	0.0
l2	common_scale_parameter	normal	80	2	8.0	95	299	1.21916236	0.87438319	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.48278735	0.40186238	0.0	17.99136153	4.01098757	11.55670909	0.0
l2	common_scale_parameter	normal	80	2	8.0	96	299	1.22593578	0.87707364	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.42031634	0.41948851	0.0	18.40595562	4.03109989	11.82240465	0.0
l2	common_scale_parameter	normal	80	2	8.0	97	299	1.22500263	0.87556062	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.40922421	0.39973035	0.0	18.76864616	3.96553527	11.90526446	0.0
l2	common_scale_parameter	normal	80	2	8.0	98	299	1.23128162	0.88549354	0.00666667	1.0	0.0	0.0	0.0	0.0	0.0	0.32081486	0.42281493	0.0	18.99348876	3.84854996	11.93904557	0.0
l2	common_scale_parameter	normal	80	2	8.0	99	299	1.25646816	0.90713297	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41428347	0.37139003	0.0	20.32855625	4.143296	13.06452294	0.0
l2	common_scale_parameter	normal	80	2	8.0	100	299	1.22171779	0.91910852	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36496945	0.37428611	0.0	18.14232387	4.05947171	11.69345449	0.0
l2	common_scale_parameter	normal	80	2	8.0	101	299	1.21109734	0.87431075	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.47557714	0.40310605	0.0	17.36387836	4.04241121	11.23213537	0.0
l2	common_scale_parameter	normal	80	2	8.0	102	299	1.20673251	0.86996447	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.37236313	0.44543878	0.0	17.41551617	3.78353163	10.96244885	0.0
l2	common_scale_parameter	normal	80	2	8.0	103	299	1.22644187	0.91918644	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.35429545	0.37488595	0.0	18.12437378	3.95373717	11.62820208	0.0
l2	common_scale_parameter	normal	80	2	8.0	104	299	1.20657131	0.87576571	0.00666667	1.0	0.0	0.0	0.0	0.0	0.0	0.40877082	0.3815778	0.0	17.50913421	3.95364867	11.17171289	0.0
l2	common_scale_parameter	normal	80	2	8.0	105	299	1.22038974	0.89783876	0.00666667	1.0	0.0	0.0	0.0	0.0	0.0	0.34164601	0.41120574	0.0	18.34432549	4.04766124	11.75797062	0.0
l2	common_scale_parameter	normal	80	2	8.0	106	299	1.20244859	0.85466563	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.43380327	0.45488476	0.0	17.22766586	3.95494291	11.01061986	0.0
l2	common_scale_parameter	normal	80	2	8.0	107	299	1.21658169	0.87865111	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41686059	0.3817105	0.0	17.96740184	4.00210184	11.51323633	0.0
l2	common_scale_parameter	normal	80	2	8.0	108	299	1.24004728	0.92152213	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.29756341	0.36759635	0.0	19.64126002	3.92627322	12.38222359	0.0
l2	common_scale_parameter	normal	80	2	8.0	109	299	1.21121231	0.89556888	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41697445	0.43099132	0.0	17.38054152	3.78404009	10.98839046	0.0
l2	common_scale_parameter	normal	80	2	8.0	110	299	1.23478192	0.92197552	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.33480673	0.37131427	0.0	18.93537707	3.92945778	12.03469231	0.0
l2	common_scale_parameter	normal	80	2	8.0	111	299	1.22094211	0.91256312	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.34123594	0.42720566	0.0	17.95478848	3.64477385	11.17179786	0.0
l2	common_scale_parameter	normal	80	2	8.0	112	299	1.21282014	0.90324823	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.41195795	0.41384534	0.0	17.42002513	3.82530396	11.0629544	0.0
l2	common_scale_parameter	normal	80	2	8.0	113	299	1.21728122	0.91844005	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.31511813	0.36873454	0.0	17.66367478	3.7382044	11.11808672	0.0
l2	common_scale_parameter	normal	80	2	8.0	114	299	1.23204822	0.90792502	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.35985454	0.46953025	0.0	18.57896174	3.85713451	11.77907562	0.0
l2	common_scale_parameter	normal	80	2	8.0	115	299	1.22962093	0.90207858	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.37403088	0.37006493	0.0	18.78128683	3.99092845	11.98123145	0.0
l2	common_scale_parameter	normal	80	2	8.0	116	299	1.20788205	0.88952253	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.42554607	0.41405387	0.0	17.01919502	3.92047878	10.93456769	0.0
l2	common_scale_parameter	normal	80	2	8.0	117	299	1.22707731	0.87901479	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.42268556	0.37700545	0.0	18.60777887	4.07393986	11.96261364	0.0
l2	common_scale_parameter	normal	80	2	8.0	118	299	1.21212776	0.89065763	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.33176584	0.41569556	0.0	17.71218048	3.7430499	11.09716808	0.0
l2	common_scale_parameter	normal	80	2	8.0	119	299	1.2257338	0.91235845	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.37498721	0.2973042	0.0	18.71114598	4.19949273	12.11103156	0.0
l2	common_scale_parameter	normal	80	2	8.0	120	299	1.20731349	0.87744755	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.38091499	0.40891813	0.0	17.42184868	3.80140674	10.98901579	0.0
l2	common_scale_parameter	normal	80	2	8.0	121	299	1.253878	0.926723	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.29867848	0.38906368	0.0	20.42752727	4.16542715	13.10135437	0.0
l2	common_scale_parameter	normal	80	2	8.0	122	299	1.22747093	0.88574502	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.35753319	0.39453655	0.0	18.88774018	3.90480436	11.91741929	0.0
l2	common_scale_parameter	normal	80	2	8.0	123	299	1.24272444	0.92769976	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.31791244	0.37240931	0.0	19.33858893	3.99275144	12.35099837	0.0
l2	common_scale_parameter	normal	80	2	8.0	124	299	1.24370214	0.92182228	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.3476608	0.34182992	0.0	19.70393748	4.13314066	12.65790606	0.0
l2	common_scale_parameter	normal	80	2	8.0	125	299	1.2170279	0.89148365	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.35082379	0.4920396	0.0	17.67100307	3.79811624	11.1830001	0.0
l2	common_scale_parameter	normal	80	2	8.0	126	299	1.22427712	0.89227969	0.00333333	1.0	0.0	0.0	0.0	0.0	0.5	0.35620071	0.44389984	0.0	18.42258109	3.89813187	11.68070642	0.0
