display_id	evidence_track	theorem_relation	family	family_label	epsilon	n	repetitions	n_perm	root_cell_seed	rejection_rate	monte_carlo_se	wilson_95_low	wilson_95_high	conditioning_index	source_file	source_sha256
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	scaled_beta12	Scaled Beta(1,2)	0.05	320	150	99	2026382570	0.3333333333333333	0.03849001794597505	0.262887648323876	0.41210243313214945	0.44575040197460536	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	uniform	Uniform	0.05	320	150	99	2026082570	0.38	0.0396316371938716	0.3062372724644591	0.45975558618387935	0.4443093267672924	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	exponential	Exponential	0.1	320	150	99	2026183070	0.06	0.019390719429665314	0.03188404420920533	0.11008977083470209	0.891174521631953	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	half_normal	Half-normal	0.1	320	150	99	2026283070	0.10666666666666667	0.02520435000668058	0.06673036965207342	0.16624622258414684	0.8873169516183685	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	scaled_beta12	Scaled Beta(1,2)	0.1	320	150	99	2026383070	0.12666666666666668	0.027156610272298005	0.08261129487936036	0.18936648758213687	0.8883012620584029	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	uniform	Uniform	0.1	320	150	99	2026083070	0.14666666666666667	0.02888546988315008	0.0988943721258812	0.2120846005608929	0.8823528579951582	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	exponential	Exponential	0.2	320	150	99	2026184070	0.05333333333333334	0.018346459947155815	0.027269539920193826	0.1017038783819546	1.7744204964438712	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	half_normal	Half-normal	0.2	320	150	99	2026284070	0.02666666666666667	0.013154354299509993	0.010417940822967993	0.06655389051214453	1.7573815724402844	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	scaled_beta12	Scaled Beta(1,2)	0.2	320	150	99	2026384070	0.05333333333333334	0.018346459947155815	0.027269539920193826	0.1017038783819546	1.7617855572172016	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	uniform	Uniform	0.2	320	150	99	2026084070	0.04	0.016	0.01845916060207442	0.08451346421655606	1.736114138685398	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
